frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1260.476000,0,0,0.999511719,0.0145554146,0.0235020137,800782,251786,0,0,1
1,1,15.612000,,,,,,,,,,0
2,1,14.402000,,,,,,,,,,0
3,1,13.648000,,,,,,,,,,0
4,1,13.423000,,,,,,,,,,0
5,1,13.502000,,,,,,,,,,0
6,1,13.579000,,,,,,,,,,0
7,1,13.456000,,,,,,,,,,0
8,1,13.431000,,,,,,,,,,0
9,1,13.555000,,,,,,,,,,0
10,1,13.601000,,,,,,,,,,0
11,1,13.547000,,,,,,,,,,0
12,1,13.682000,,,,,,,,,,0
13,1,13.564000,,,,,,,,,,0
14,1,13.481000,,,,,,,,,,0
15,1,13.540000,,,,,,,,,,0
16,1,13.024000,,,,,,,,,,0
17,1,13.037000,,,,,,,,,,0
18,1,12.994000,,,,,,,,,,0
19,1,12.995000,,,,,,,,,,0
20,1,13.144000,,,,,,,,,,0
21,1,13.109000,,,,,,,,,,0
22,1,13.192000,,,,,,,,,,0
23,1,13.192000,,,,,,,,,,0
24,1,13.222000,,,,,,,,,,0
25,1,13.344000,,,,,,,,,,0
26,1,13.263000,,,,,,,,,,0
27,1,13.362000,,,,,,,,,,0
28,1,13.312000,,,,,,,,,,0
29,1,13.383000,,,,,,,,,,0
30,1,13.316000,,,,,,,,,,0
31,1,13.435000,,,,,,,,,,0
32,1,13.395000,,,,,,,,,,0
33,1,13.460000,,,,,,,,,,0
34,1,13.369000,,,,,,,,,,0
35,1,13.337000,,,,,,,,,,0
36,1,13.506000,,,,,,,,,,0
37,1,13.450000,,,,,,,,,,0
38,1,13.401000,,,,,,,,,,0
39,1,13.392000,,,,,,,,,,0
40,1,13.365000,,,,,,,,,,0
41,1,13.400000,,,,,,,,,,0
42,1,13.375000,,,,,,,,,,0
43,1,13.372000,,,,,,,,,,0
44,1,13.405000,,,,,,,,,,0
45,1,13.352000,,,,,,,,,,0
46,1,13.638000,,,,,,,,,,0
47,1,13.462000,,,,,,,,,,0
48,1,13.636000,,,,,,,,,,0
49,1,13.478000,,,,,,,,,,0
50,1,13.370000,,,,,,,,,,0
51,1,13.449000,,,,,,,,,,0
52,1,13.616000,,,,,,,,,,0
53,1,13.768000,,,,,,,,,,0
54,1,13.428000,,,,,,,,,,0
55,1,13.538000,,,,,,,,,,0
56,1,13.528000,,,,,,,,,,0
57,1,13.382000,,,,,,,,,,0
58,1,13.482000,,,,,,,,,,0
59,1,13.777000,,,,,,,,,,0
60,1,13.668000,,,,,,,,,,0
61,1,13.593000,,,,,,,,,,0
62,1,13.618000,,,,,,,,,,0
63,1,13.703000,,,,,,,,,,0
64,1,13.538000,,,,,,,,,,0
65,1,13.438000,,,,,,,,,,0
66,1,13.586000,,,,,,,,,,0
67,1,13.610000,,,,,,,,,,0
68,1,13.737000,,,,,,,,,,0
69,1,13.684000,,,,,,,,,,0
70,1,13.740000,,,,,,,,,,0
71,1,13.518000,,,,,,,,,,0
72,1,13.543000,,,,,,,,,,0
73,1,13.522000,,,,,,,,,,0
74,1,13.707000,,,,,,,,,,0
75,1,13.614000,,,,,,,,,,0
76,1,13.409000,,,,,,,,,,0
77,1,13.596000,,,,,,,,,,0
78,1,13.586000,,,,,,,,,,0
79,1,13.440000,,,,,,,,,,0
80,1,13.549000,,,,,,,,,,0
81,1,13.424000,,,,,,,,,,0
82,1,13.501000,,,,,,,,,,0
83,1,13.496000,,,,,,,,,,0
84,1,13.599000,,,,,,,,,,0
85,1,13.517000,,,,,,,,,,0
86,1,13.441000,,,,,,,,,,0
87,1,13.609000,,,,,,,,,,0
88,1,13.457000,,,,,,,,,,0
89,1,13.409000,,,,,,,,,,0
90,1,13.732000,,,,,,,,,,0
91,1,13.689000,,,,,,,,,,0
92,1,13.481000,,,,,,,,,,0
93,1,13.617000,,,,,,,,,,0
94,1,13.650000,,,,,,,,,,0
95,1,13.413000,,,,,,,,,,0
96,1,13.764000,,,,,,,,,,0
97,1,13.558000,,,,,,,,,,0
98,1,13.581000,,,,,,,,,,0
99,1,13.475000,,,,,,,,,,0
100,1,13.632000,,,,,,,,,,0
101,1,13.587000,,,,,,,,,,0
102,1,13.617000,,,,,,,,,,0
103,1,13.770000,,,,,,,,,,0
104,1,13.543000,,,,,,,,,,0
105,1,13.517000,,,,,,,,,,0
106,1,13.519000,,,,,,,,,,0
107,1,13.699000,,,,,,,,,,0
108,1,13.543000,,,,,,,,,,0
109,1,13.492000,,,,,,,,,,0
110,1,13.487000,,,,,,,,,,0
111,1,13.675000,,,,,,,,,,0
112,1,13.530000,,,,,,,,,,0
113,1,13.599000,,,,,,,,,,0
114,1,13.736000,,,,,,,,,,0
115,1,13.495000,,,,,,,,,,0
116,1,13.587000,,,,,,,,,,0
117,1,13.451000,,,,,,,,,,0
118,1,13.641000,,,,,,,,,,0
119,1,13.629000,,,,,,,,,,0
120,1,13.660000,,,,,,,,,,0
121,1,13.684000,,,,,,,,,,0
122,1,13.492000,,,,,,,,,,0
123,1,13.505000,,,,,,,,,,0
124,1,13.564000,,,,,,,,,,0
125,1,13.538000,,,,,,,,,,0
126,1,13.592000,,,,,,,,,,0
127,1,13.554000,,,,,,,,,,0
128,1,13.632000,,,,,,,,,,0
129,1,13.596000,,,,,,,,,,0
130,1,13.521000,,,,,,,,,,0
131,1,13.757000,,,,,,,,,,0
132,1,13.810000,,,,,,,,,,0
133,1,13.755000,,,,,,,,,,0
134,1,13.453000,,,,,,,,,,0
135,1,13.836000,,,,,,,,,,0
136,1,13.451000,,,,,,,,,,0
137,1,13.483000,,,,,,,,,,0
138,1,13.545000,,,,,,,,,,0
139,1,13.449000,,,,,,,,,,0
140,1,13.540000,,,,,,,,,,0
141,1,13.610000,,,,,,,,,,0
142,1,13.661000,,,,,,,,,,0
143,1,13.582000,,,,,,,,,,0
144,1,13.662000,,,,,,,,,,0
145,1,13.681000,,,,,,,,,,0
146,1,13.467000,,,,,,,,,,0
147,1,13.505000,,,,,,,,,,0
148,1,13.792000,,,,,,,,,,0
149,1,13.657000,,,,,,,,,,0
150,1,13.634000,,,,,,,,,,0
151,1,13.492000,,,,,,,,,,0
152,1,13.594000,,,,,,,,,,0
153,1,13.595000,,,,,,,,,,0
154,1,13.522000,,,,,,,,,,0
155,1,13.627000,,,,,,,,,,0
156,1,13.538000,,,,,,,,,,0
157,1,13.498000,,,,,,,,,,0
158,1,13.477000,,,,,,,,,,0
159,1,13.613000,0,0,0.999511719,0.0145554146,0.0235020137,800782,251786,0,0,1
