frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1282.891000,0,0,0.999511719,0.0186962202,0.0252040662,531420,172773,0,0,1
1,1,17.951000,,,,,,,,,,0
2,1,14.350000,,,,,,,,,,0
3,1,13.629000,,,,,,,,,,0
4,1,13.540000,,,,,,,,,,0
5,1,13.538000,,,,,,,,,,0
6,1,13.383000,,,,,,,,,,0
7,1,13.417000,,,,,,,,,,0
8,1,13.334000,,,,,,,,,,0
9,1,13.298000,,,,,,,,,,0
10,1,13.244000,,,,,,,,,,0
11,1,13.339000,0,0,0.999511719,0.0186962202,0.0252040662,531420,172773,0,0,1
