frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1281.904000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,15.144000,,,,,,,,,,0
2,1,14.354000,,,,,,,,,,0
3,1,13.622000,,,,,,,,,,0
4,1,13.171000,,,,,,,,,,0
5,1,13.361000,,,,,,,,,,0
6,1,13.308000,,,,,,,,,,0
7,1,13.270000,,,,,,,,,,0
8,1,13.377000,,,,,,,,,,0
9,1,13.594000,,,,,,,,,,0
10,1,13.365000,,,,,,,,,,0
11,1,13.464000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
