frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1425.108000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
1,1,16.407000,,,,,,,,,,0
2,1,13.854000,,,,,,,,,,0
3,1,13.227000,,,,,,,,,,0
4,1,13.053000,,,,,,,,,,0
5,1,13.073000,,,,,,,,,,0
6,1,13.115000,,,,,,,,,,0
7,1,13.298000,,,,,,,,,,0
8,1,13.270000,,,,,,,,,,0
9,1,13.039000,,,,,,,,,,0
10,1,13.171000,,,,,,,,,,0
11,1,13.008000,0,0,0.999511719,0.0100132575,0.0156972295,841990,273935,0,0,1
