frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1292.000000,0,0,0.999511719,0.0186962202,0.0252040662,531420,172773,0,0,1
1,1,16.088000,,,,,,,,,,0
2,1,14.175000,,,,,,,,,,0
3,1,13.234000,,,,,,,,,,0
4,1,13.349000,,,,,,,,,,0
5,1,13.201000,,,,,,,,,,0
6,1,13.341000,,,,,,,,,,0
7,1,13.366000,,,,,,,,,,0
8,1,13.281000,,,,,,,,,,0
9,1,13.352000,,,,,,,,,,0
10,1,13.338000,,,,,,,,,,0
11,1,13.436000,0,0,0.999511719,0.0186962202,0.0252040662,531420,172773,0,0,1
