frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1277.263000,0,0,0.999511719,0.0186962202,0.0252040662,531420,172773,0,0,1
1,1,15.647000,,,,,,,,,,0
2,1,14.338000,,,,,,,,,,0
3,1,13.431000,,,,,,,,,,0
4,1,12.993000,,,,,,,,,,0
5,1,13.033000,,,,,,,,,,0
6,1,13.147000,,,,,,,,,,0
7,1,13.140000,,,,,,,,,,0
8,1,13.255000,,,,,,,,,,0
9,1,12.984000,,,,,,,,,,0
10,1,13.176000,,,,,,,,,,0
11,1,13.111000,,,,,,,,,,0
12,1,13.263000,,,,,,,,,,0
13,1,13.119000,,,,,,,,,,0
14,1,13.216000,,,,,,,,,,0
15,1,13.207000,,,,,,,,,,0
16,1,12.584000,,,,,,,,,,0
17,1,12.688000,,,,,,,,,,0
18,1,12.784000,,,,,,,,,,0
19,1,12.772000,,,,,,,,,,0
20,1,12.575000,,,,,,,,,,0
21,1,12.692000,,,,,,,,,,0
22,1,12.840000,,,,,,,,,,0
23,1,12.873000,,,,,,,,,,0
24,1,13.017000,,,,,,,,,,0
25,1,12.940000,,,,,,,,,,0
26,1,13.075000,,,,,,,,,,0
27,1,13.013000,,,,,,,,,,0
28,1,13.072000,,,,,,,,,,0
29,1,13.006000,,,,,,,,,,0
30,1,12.967000,,,,,,,,,,0
31,1,13.077000,,,,,,,,,,0
32,1,13.045000,,,,,,,,,,0
33,1,13.032000,,,,,,,,,,0
34,1,13.063000,,,,,,,,,,0
35,1,13.106000,,,,,,,,,,0
36,1,13.147000,,,,,,,,,,0
37,1,13.109000,,,,,,,,,,0
38,1,13.148000,,,,,,,,,,0
39,1,12.973000,,,,,,,,,,0
40,1,13.013000,,,,,,,,,,0
41,1,13.203000,,,,,,,,,,0
42,1,13.143000,,,,,,,,,,0
43,1,13.110000,,,,,,,,,,0
44,1,13.080000,,,,,,,,,,0
45,1,13.316000,,,,,,,,,,0
46,1,13.311000,,,,,,,,,,0
47,1,13.171000,,,,,,,,,,0
48,1,13.216000,,,,,,,,,,0
49,1,13.145000,,,,,,,,,,0
50,1,13.248000,,,,,,,,,,0
51,1,13.398000,,,,,,,,,,0
52,1,13.084000,,,,,,,,,,0
53,1,13.255000,,,,,,,,,,0
54,1,13.104000,,,,,,,,,,0
55,1,13.218000,,,,,,,,,,0
56,1,13.315000,,,,,,,,,,0
57,1,13.237000,,,,,,,,,,0
58,1,13.142000,,,,,,,,,,0
59,1,13.307000,,,,,,,,,,0
60,1,13.333000,,,,,,,,,,0
61,1,13.240000,,,,,,,,,,0
62,1,13.377000,,,,,,,,,,0
63,1,13.231000,,,,,,,,,,0
64,1,13.169000,,,,,,,,,,0
65,1,13.225000,,,,,,,,,,0
66,1,13.209000,,,,,,,,,,0
67,1,13.288000,,,,,,,,,,0
68,1,13.365000,,,,,,,,,,0
69,1,13.281000,,,,,,,,,,0
70,1,13.259000,,,,,,,,,,0
71,1,13.378000,,,,,,,,,,0
72,1,13.107000,,,,,,,,,,0
73,1,13.250000,,,,,,,,,,0
74,1,13.251000,,,,,,,,,,0
75,1,13.200000,,,,,,,,,,0
76,1,13.297000,,,,,,,,,,0
77,1,13.245000,,,,,,,,,,0
78,1,13.189000,,,,,,,,,,0
79,1,13.172000,,,,,,,,,,0
80,1,13.408000,,,,,,,,,,0
81,1,13.230000,,,,,,,,,,0
82,1,13.190000,,,,,,,,,,0
83,1,13.234000,,,,,,,,,,0
84,1,13.377000,,,,,,,,,,0
85,1,13.319000,,,,,,,,,,0
86,1,13.244000,,,,,,,,,,0
87,1,13.299000,,,,,,,,,,0
88,1,13.268000,,,,,,,,,,0
89,1,13.155000,,,,,,,,,,0
90,1,13.270000,,,,,,,,,,0
91,1,13.335000,,,,,,,,,,0
92,1,13.166000,,,,,,,,,,0
93,1,13.355000,,,,,,,,,,0
94,1,13.278000,,,,,,,,,,0
95,1,13.234000,,,,,,,,,,0
96,1,13.234000,,,,,,,,,,0
97,1,13.290000,,,,,,,,,,0
98,1,13.131000,,,,,,,,,,0
99,1,13.188000,,,,,,,,,,0
100,1,13.422000,,,,,,,,,,0
101,1,13.194000,,,,,,,,,,0
102,1,13.168000,,,,,,,,,,0
103,1,13.287000,,,,,,,,,,0
104,1,13.299000,,,,,,,,,,0
105,1,13.169000,,,,,,,,,,0
106,1,13.301000,,,,,,,,,,0
107,1,13.235000,,,,,,,,,,0
108,1,13.461000,,,,,,,,,,0
109,1,13.096000,,,,,,,,,,0
110,1,13.185000,,,,,,,,,,0
111,1,13.214000,,,,,,,,,,0
112,1,13.192000,,,,,,,,,,0
113,1,13.242000,,,,,,,,,,0
114,1,13.178000,,,,,,,,,,0
115,1,13.303000,,,,,,,,,,0
116,1,13.240000,,,,,,,,,,0
117,1,13.194000,,,,,,,,,,0
118,1,13.278000,,,,,,,,,,0
119,1,13.372000,,,,,,,,,,0
120,1,13.197000,,,,,,,,,,0
121,1,13.464000,,,,,,,,,,0
122,1,13.194000,,,,,,,,,,0
123,1,13.235000,,,,,,,,,,0
124,1,13.287000,,,,,,,,,,0
125,1,13.404000,,,,,,,,,,0
126,1,13.215000,,,,,,,,,,0
127,1,13.289000,,,,,,,,,,0
128,1,13.294000,,,,,,,,,,0
129,1,13.195000,,,,,,,,,,0
130,1,13.158000,,,,,,,,,,0
131,1,13.163000,,,,,,,,,,0
132,1,13.221000,,,,,,,,,,0
133,1,13.423000,,,,,,,,,,0
134,1,13.209000,,,,,,,,,,0
135,1,13.342000,,,,,,,,,,0
136,1,13.232000,,,,,,,,,,0
137,1,13.224000,,,,,,,,,,0
138,1,13.400000,,,,,,,,,,0
139,1,13.401000,,,,,,,,,,0
140,1,13.166000,,,,,,,,,,0
141,1,13.268000,,,,,,,,,,0
142,1,13.394000,,,,,,,,,,0
143,1,13.176000,,,,,,,,,,0
144,1,13.194000,,,,,,,,,,0
145,1,13.271000,,,,,,,,,,0
146,1,13.229000,,,,,,,,,,0
147,1,13.217000,,,,,,,,,,0
148,1,13.210000,,,,,,,,,,0
149,1,13.273000,,,,,,,,,,0
150,1,13.174000,,,,,,,,,,0
151,1,13.307000,,,,,,,,,,0
152,1,13.196000,,,,,,,,,,0
153,1,13.220000,,,,,,,,,,0
154,1,13.276000,,,,,,,,,,0
155,1,13.390000,,,,,,,,,,0
156,1,13.362000,,,,,,,,,,0
157,1,13.363000,,,,,,,,,,0
158,1,13.227000,,,,,,,,,,0
159,1,13.261000,0,0,0.999511719,0.0186962202,0.0252040662,531420,172773,0,0,1
