kind,repeat,target,slot,active,frames,ms,hits_per_frame,bitdiff
cand,0,1,0,0,200,10.447844000,0.000,0
cand,0,1,1,1,200,10.473559500,10.000,0
cand,0,1,2,1,200,10.498741000,10.000,0
cand,0,1,3,0,200,10.525490000,0.000,0
cand,0,2,0,0,200,10.504735000,0.000,0
cand,0,2,1,1,200,10.527361500,10.000,0
cand,0,2,2,1,200,10.542614000,10.000,0
cand,0,2,3,0,200,10.557343500,0.000,0
cand,1,1,0,0,200,10.557765000,0.000,0
cand,1,1,1,1,200,10.582623500,10.000,0
cand,1,1,2,1,200,10.565965000,10.000,0
cand,1,1,3,0,200,10.592850500,0.000,0
cand,1,2,0,0,200,10.594503000,0.000,0
cand,1,2,1,1,200,10.581322000,10.000,0
cand,1,2,2,1,200,10.602337000,10.000,0
cand,1,2,3,0,200,10.626442500,0.000,0
cand,2,1,0,0,200,10.625400000,0.000,0
cand,2,1,1,1,200,10.608366500,10.000,0
cand,2,1,2,1,200,10.628008000,10.000,0
cand,2,1,3,0,200,10.636689000,0.000,0
cand,2,2,0,0,200,10.602312500,0.000,0
cand,2,2,1,1,200,10.577839000,10.000,0
cand,2,2,2,1,200,10.592444000,10.000,0
cand,2,2,3,0,200,10.599782500,0.000,0
