sequence,frame,anchor,method,relative_l1,absolute_l1,token_relative_p95
0,1,0,r3_gain_hold,0.0,0.0,0.0
0,1,0,linear_extrapolate,0.0,0.0,0.0
0,1,0,damped_extrapolate,0.0,0.0,0.0
0,1,0,causal_bounded_fit,0.0,0.0,0.0
0,1,0,two_anchor_mean,0.0,0.0,0.0
0,2,0,r3_gain_hold,0.0,0.0,0.0
0,2,0,linear_extrapolate,0.0,0.0,0.0
0,2,0,damped_extrapolate,0.0,0.0,0.0
0,2,0,causal_bounded_fit,0.0,0.0,0.0
0,2,0,two_anchor_mean,0.0,0.0,0.0
0,3,0,r3_gain_hold,0.0,0.0,0.0
0,3,0,linear_extrapolate,0.0,0.0,0.0
0,3,0,damped_extrapolate,0.0,0.0,0.0
0,3,0,causal_bounded_fit,0.0,0.0,0.0
0,3,0,two_anchor_mean,0.0,0.0,0.0
0,5,4,r3_gain_hold,0.0,0.0,0.0
0,5,4,linear_extrapolate,0.0,0.0,0.0
0,5,4,damped_extrapolate,0.0,0.0,0.0
0,5,4,causal_bounded_fit,0.0,0.0,0.0
0,5,4,two_anchor_mean,0.0,0.0,0.0
0,6,4,r3_gain_hold,0.0,0.0,0.0
0,6,4,linear_extrapolate,0.0,0.0,0.0
0,6,4,damped_extrapolate,0.0,0.0,0.0
0,6,4,causal_bounded_fit,0.0,0.0,0.0
0,6,4,two_anchor_mean,0.0,0.0,0.0
0,7,4,r3_gain_hold,0.0,0.0,0.0
0,7,4,linear_extrapolate,0.0,0.0,0.0
0,7,4,damped_extrapolate,0.0,0.0,0.0
0,7,4,causal_bounded_fit,0.0,0.0,0.0
0,7,4,two_anchor_mean,0.0,0.0,0.0
0,9,8,r3_gain_hold,0.0,0.0,0.0
0,9,8,linear_extrapolate,0.0,0.0,0.0
0,9,8,damped_extrapolate,0.0,0.0,0.0
0,9,8,causal_bounded_fit,0.0,0.0,0.0
0,9,8,two_anchor_mean,0.0,0.0,0.0
0,10,8,r3_gain_hold,0.0,0.0,0.0
0,10,8,linear_extrapolate,0.0,0.0,0.0
0,10,8,damped_extrapolate,0.0,0.0,0.0
0,10,8,causal_bounded_fit,0.0,0.0,0.0
0,10,8,two_anchor_mean,0.0,0.0,0.0
0,11,8,r3_gain_hold,0.0,0.0,0.0
0,11,8,linear_extrapolate,0.0,0.0,0.0
0,11,8,damped_extrapolate,0.0,0.0,0.0
0,11,8,causal_bounded_fit,0.0,0.0,0.0
0,11,8,two_anchor_mean,0.0,0.0,0.0
1,1,0,r3_gain_hold,0.1722243175388428,0.14866341650485992,0.2834137558937073
1,1,0,linear_extrapolate,0.1722243175388428,0.14866341650485992,0.2834137558937073
1,1,0,damped_extrapolate,0.1722243175388428,0.14866341650485992,0.2834137558937073
