"sequence","kind","frame","r2_sha","r3_sha","identical"
"1","base","0","75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB","75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB","True"
"1","base","1","092E30DE447D43FC2BCAC9D5965EC4BC5042CF64FA4428F7DD681BF157804DC5","092E30DE447D43FC2BCAC9D5965EC4BC5042CF64FA4428F7DD681BF157804DC5","True"
"1","base","2","62B465754FB994510AD0BAE6013ACEDCF96523FDF4FACB4A31165346D52BDDA7","62B465754FB994510AD0BAE6013ACEDCF96523FDF4FACB4A31165346D52BDDA7","True"
"1","base","3","2B8A7C208C3A60DB14E41CEB955A8E739599C934F2162543E8D4D0B397FAADA4","2B8A7C208C3A60DB14E41CEB955A8E739599C934F2162543E8D4D0B397FAADA4","True"
"1","base","4","1285D74F82ACFF37F4F4BDF25D59AFF2ACAC261486ED253109EE37737C141C4F","1285D74F82ACFF37F4F4BDF25D59AFF2ACAC261486ED253109EE37737C141C4F","True"
"1","base","5","7CC1E15799AF0EE02D5DC7754721880E210E96A41F695BC38337FC0912104471","7CC1E15799AF0EE02D5DC7754721880E210E96A41F695BC38337FC0912104471","True"
"1","base","6","11C0851FED39FDAD5EE318E9C853F5E7E53DFB349899312D1F59DDC19693FE49","11C0851FED39FDAD5EE318E9C853F5E7E53DFB349899312D1F59DDC19693FE49","True"
"1","base","7","F3DF3E6A6F22CF9779DD9250AA11FFF4A9BBC60DBF4D99E205D9F10B041BAF25","F3DF3E6A6F22CF9779DD9250AA11FFF4A9BBC60DBF4D99E205D9F10B041BAF25","True"
"1","base","8","5B265816D3AC03A67FEAB0ACA16649BD4F60604DEE59774921A55D3F5010616E","5B265816D3AC03A67FEAB0ACA16649BD4F60604DEE59774921A55D3F5010616E","True"
"1","base","9","D5300E62A967D00C8224CBA7A831E69C84544E5583314DE42FB501D3B4AACB9A","D5300E62A967D00C8224CBA7A831E69C84544E5583314DE42FB501D3B4AACB9A","True"
"1","base","10","A2A1624A2290768F4C29BC227FAE8DE9133644E6D40867FC160BE67516AF3F32","A2A1624A2290768F4C29BC227FAE8DE9133644E6D40867FC160BE67516AF3F32","True"
"1","base","11","5104F039569FE20C0EDCAB1FB68D56DB041406F3DDB38FC49DD2DD1D1EC636D1","5104F039569FE20C0EDCAB1FB68D56DB041406F3DDB38FC49DD2DD1D1EC636D1","True"
"1","adaptive","0","75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB","75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB","True"
"1","adaptive","1","092E30DE447D43FC2BCAC9D5965EC4BC5042CF64FA4428F7DD681BF157804DC5","092E30DE447D43FC2BCAC9D5965EC4BC5042CF64FA4428F7DD681BF157804DC5","True"
"1","adaptive","2","507239F070F03F13FF544B6560DB6C7584444D6695C780AE33474214EA6244EC","507239F070F03F13FF544B6560DB6C7584444D6695C780AE33474214EA6244EC","True"
"1","adaptive","3","89642CB722CB14A02D57E0D1B6C033553C17E1727BEDDE4EB5040E01C4F10D99","89642CB722CB14A02D57E0D1B6C033553C17E1727BEDDE4EB5040E01C4F10D99","True"
"1","adaptive","4","91D42E3489D38CB4358D330D83AB4A35C7316476FEF109AA2687988C951520FC","91D42E3489D38CB4358D330D83AB4A35C7316476FEF109AA2687988C951520FC","True"
"1","adaptive","5","7CC1E15799AF0EE02D5DC7754721880E210E96A41F695BC38337FC0912104471","7CC1E15799AF0EE02D5DC7754721880E210E96A41F695BC38337FC0912104471","True"
"1","adaptive","6","D60B6F8526F56EFE8005C89A7A0411F57661FA33C0ABD81000542B5CDB3A8227","D60B6F8526F56EFE8005C89A7A0411F57661FA33C0ABD81000542B5CDB3A8227","True"
"1","adaptive","7","CCABEF95C0C9B07A59A15DF99F2C2CD39A37ADE5753D3DB5D49290256F8560B0","CCABEF95C0C9B07A59A15DF99F2C2CD39A37ADE5753D3DB5D49290256F8560B0","True"
"1","adaptive","8","5B265816D3AC03A67FEAB0ACA16649BD4F60604DEE59774921A55D3F5010616E","5B265816D3AC03A67FEAB0ACA16649BD4F60604DEE59774921A55D3F5010616E","True"
"1","adaptive","9","B1DB19B42AC1BD336606D3E474F106D9FA0F9F340271F32456DA4CFB41FE0F58","B1DB19B42AC1BD336606D3E474F106D9FA0F9F340271F32456DA4CFB41FE0F58","True"
"1","adaptive","10","CBDB5DD80852C67072DCEA386E8BEFD7D5E4843495B13D97C65BE0E3F508545C","CBDB5DD80852C67072DCEA386E8BEFD7D5E4843495B13D97C65BE0E3F508545C","True"
"1","adaptive","11","5104F039569FE20C0EDCAB1FB68D56DB041406F3DDB38FC49DD2DD1D1EC636D1","5104F039569FE20C0EDCAB1FB68D56DB041406F3DDB38FC49DD2DD1D1EC636D1","True"
"2","base","0","75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB","75AABA5EF94368353F3F17C034B53918151AA2EBC98FF870B2A057D08AE910AB","True"
"2","base","1","FDC43B0DF03C435478B0A4539E39393BB34D833E76C5810D1D25230800F0B422","FDC43B0DF03C435478B0A4539E39393BB34D833E76C5810D1D25230800F0B422","True"
