frame,reset,wall_ms,invalid,rgb_min,rgb_max,luma_mean,roi_luma_mean,dark_pixels,roi_dark_pixels,changed_half_values_from_first,maxabs_from_first,checked
0,1,1228.749000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
1,1,16.525000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
2,1,15.216000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
3,1,14.987000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
4,1,15.055000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
5,1,13.525000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
6,1,13.756000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
7,1,15.261000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
8,1,15.272000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
9,1,14.936000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
10,1,14.931000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
11,1,14.961000,0,3.33786011e-06,0.998046875,0.440200464,0.438869675,2629,901,0,0,1
