it=-1 start 0x0 dxgi_local_MiB=12.5 private_MiB=36.2
it=0 live 1920x1152 dxgi_local_MiB=2051.7 private_MiB=205.3
it=0 after-destroy 1920x1152 dxgi_local_MiB=1830.7 private_MiB=203.4
it=1 live 1600x960 dxgi_local_MiB=2168.3 private_MiB=271.1
it=1 after-destroy 1600x960 dxgi_local_MiB=1911.5 private_MiB=267.8
it=2 live 1280x768 dxgi_local_MiB=2562.1 private_MiB=312.3
it=2 after-destroy 1280x768 dxgi_local_MiB=2328.8 private_MiB=309.0
it=3 live 1920x1152 dxgi_local_MiB=2676.8 private_MiB=406.6
it=3 after-destroy 1920x1152 dxgi_local_MiB=2368.2 private_MiB=402.6
it=4 live 1920x1152 dxgi_local_MiB=2748.2 private_MiB=498.9
it=4 after-destroy 1920x1152 dxgi_local_MiB=2523.2 private_MiB=495.6
it=5 live 1600x960 dxgi_local_MiB=2860.7 private_MiB=564.6
it=5 after-destroy 1600x960 dxgi_local_MiB=2587.8 private_MiB=560.5
it=6 live 1280x768 dxgi_local_MiB=2878.4 private_MiB=605.6
it=6 after-destroy 1280x768 dxgi_local_MiB=2629.2 private_MiB=601.9
it=7 live 1920x1152 dxgi_local_MiB=2963.5 private_MiB=699.3
it=7 after-destroy 1920x1152 dxgi_local_MiB=2718.4 private_MiB=695.9
it=8 live 1920x1152 dxgi_local_MiB=3048.5 private_MiB=790.9
it=8 after-destroy 1920x1152 dxgi_local_MiB=2789.7 private_MiB=788.2
it=9 live 1600x960 dxgi_local_MiB=3150.7 private_MiB=856.2
it=9 after-destroy 1600x960 dxgi_local_MiB=2865.8 private_MiB=853.7
it=10 live 1280x768 dxgi_local_MiB=3156.4 private_MiB=897.5
it=10 after-destroy 1280x768 dxgi_local_MiB=2911.1 private_MiB=894.9
it=11 live 1920x1152 dxgi_local_MiB=3225.1 private_MiB=990.3
it=11 after-destroy 1920x1152 dxgi_local_MiB=3004.1 private_MiB=988.1
it=12 live 1920x1152 dxgi_local_MiB=3318.1 private_MiB=1083.9
it=12 after-destroy 1920x1152 dxgi_local_MiB=3097.1 private_MiB=1080.8
it=13 live 1600x960 dxgi_local_MiB=3434.7 private_MiB=1148.8
it=13 after-destroy 1600x960 dxgi_local_MiB=3165.8 private_MiB=1146.5
it=14 live 1280x768 dxgi_local_MiB=3440.3 private_MiB=1190.2
it=14 after-destroy 1280x768 dxgi_local_MiB=3207.1 private_MiB=1187.7
it=15 live 1920x1152 dxgi_local_MiB=3521.1 private_MiB=1283.2
it=15 after-destroy 1920x1152 dxgi_local_MiB=3300.1 private_MiB=1280.5
it=16 live 1920x1152 dxgi_local_MiB=3614.1 private_MiB=1377.3
it=16 after-destroy 1920x1152 dxgi_local_MiB=3393.1 private_MiB=1374.1
it=17 live 1600x960 dxgi_local_MiB=3730.7 private_MiB=1442.3
it=17 after-destroy 1600x960 dxgi_local_MiB=3457.9 private_MiB=1438.4
it=18 live 1280x768 dxgi_local_MiB=3732.4 private_MiB=1483.3
it=18 after-destroy 1280x768 dxgi_local_MiB=3499.2 private_MiB=1480.2
it=19 live 1920x1152 dxgi_local_MiB=3813.2 private_MiB=1577.0
it=19 after-destroy 1920x1152 dxgi_local_MiB=3592.2 private_MiB=1573.1
it=20 live 1920x1152 dxgi_local_MiB=3906.2 private_MiB=1670.2
it=20 after-destroy 1920x1152 dxgi_local_MiB=3685.2 private_MiB=1666.7
it=21 live 1600x960 dxgi_local_MiB=4022.7 private_MiB=1735.2
it=21 after-destroy 1600x960 dxgi_local_MiB=3750.0 private_MiB=1731.2
it=22 live 1280x768 dxgi_local_MiB=4024.5 private_MiB=1776.5
it=22 after-destroy 1280x768 dxgi_local_MiB=3791.2 private_MiB=1772.5
it=23 live 1920x1152 dxgi_local_MiB=4105.2 private_MiB=1871.2
it=23 after-destroy 1920x1152 dxgi_local_MiB=3884.2 private_MiB=1865.8
it=24 live 1920x1152 dxgi_local_MiB=4198.2 private_MiB=1963.8
it=24 after-destroy 1920x1152 dxgi_local_MiB=3977.2 private_MiB=1959.8
it=25 live 1600x960 dxgi_local_MiB=4314.8 private_MiB=2027.3
it=25 after-destroy 1600x960 dxgi_local_MiB=4042.0 private_MiB=2024.9
it=26 live 1280x768 dxgi_local_MiB=4316.5 private_MiB=2070.5
it=26 after-destroy 1280x768 dxgi_local_MiB=4083.3 private_MiB=2066.1
it=27 live 1920x1152 dxgi_local_MiB=4397.3 private_MiB=2164.6
it=27 after-destroy 1920x1152 dxgi_local_MiB=4176.3 private_MiB=2159.9
it=28 live 1920x1152 dxgi_local_MiB=4490.3 private_MiB=2257.8
it=28 after-destroy 1920x1152 dxgi_local_MiB=4269.3 private_MiB=2253.4
it=29 live 1600x960 dxgi_local_MiB=4606.8 private_MiB=2321.8
it=29 after-destroy 1600x960 dxgi_local_MiB=4334.1 private_MiB=2317.5
it=30 live 1280x768 dxgi_local_MiB=4608.6 private_MiB=2364.1
it=30 after-destroy 1280x768 dxgi_local_MiB=4375.3 private_MiB=2358.8
it=31 live 1920x1152 dxgi_local_MiB=4689.3 private_MiB=2456.3
it=31 after-destroy 1920x1152 dxgi_local_MiB=4468.3 private_MiB=2452.4
it=32 live 1920x1152 dxgi_local_MiB=4782.3 private_MiB=2549.5
it=32 after-destroy 1920x1152 dxgi_local_MiB=4561.3 private_MiB=2545.0
it=33 live 1600x960 dxgi_local_MiB=4882.8 private_MiB=2614.4
it=33 after-destroy 1600x960 dxgi_local_MiB=4626.1 private_MiB=2609.7
it=34 live 1280x768 dxgi_local_MiB=4900.6 private_MiB=2656.7
it=34 after-destroy 1280x768 dxgi_local_MiB=4667.3 private_MiB=2650.9
it=35 live 1920x1152 dxgi_local_MiB=4981.3 private_MiB=2748.9
it=35 after-destroy 1920x1152 dxgi_local_MiB=4760.3 private_MiB=2748.8
it=36 live 1920x1152 dxgi_local_MiB=5074.3 private_MiB=2841.9
it=36 after-destroy 1920x1152 dxgi_local_MiB=4853.3 private_MiB=2837.7
it=37 live 1600x960 dxgi_local_MiB=5174.8 private_MiB=2907.0
it=37 after-destroy 1600x960 dxgi_local_MiB=4918.1 private_MiB=2905.8
it=38 live 1280x768 dxgi_local_MiB=5192.6 private_MiB=2949.1
it=38 after-destroy 1280x768 dxgi_local_MiB=4959.3 private_MiB=2945.1
it=39 live 1920x1152 dxgi_local_MiB=5273.3 private_MiB=3042.3
it=39 after-destroy 1920x1152 dxgi_local_MiB=5052.3 private_MiB=3042.2
exit=0
